object_location,objectid,title,date,date-is-approximate?,creator,recipient,description,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,format,language,relation,display_template,image_small,image_thumb
https://digital.ncdcr.gov/Documents/Detail/mccrory-pat.-proclamation-black-history-month-february-2016/4753794,blackhistory001,"McCrory, Pat. Proclamation, Black History Month, February 2016",2016,n,"McCrory, Pat, 1956-; North Carolina. Office of the Governor.",,Proclamation of Black History Monthy by Governor McCrory in 2016.,single-page; proclamation,"McCrory, Pat, 1956-; Governors--North Carolina; Proclamations--North Carolina",,,,,State Archives of North Carolina,North Carolina. Office of the Governor.,,,GP_McCrory_Pro_20160201_001,This item is provided courtesy of the State Archives of North Carolina and is a public record according to G.S.132.,https://www.ncleg.gov/EnactedLegislation/Statutes/PDF/BySection/Chapter_132/GS_132-1.pdf,Text,text/html,eng,,pdf,/objects/small/001_bhmproclamation_sm.jpg,/objects/thumbs/001_bhmproclamation_th.jpg
https://digital.ncdcr.gov/Documents/Detail/uses-of-black-history-a-speech-delivered-during-the-observance-of-black-history-week-february-11-1980/558807?item=679307,blackhistory002,"Uses of Black history : a speech delivered during the observance of Black History Week, February 11, 1980",1980-02-11,n,"Thorpe, Earl E.",,Transcript of a speech by Earl E. Thorpe bout Black History,multiple-page;speech,African Americans--History,,,,,State Library of North Carolina,North Carolina Department of Natural and Cultural Resources,,,pubs_7500461_uses1980,"Users are responsible for determining the legal status of and securing any permissions necessary to distribute, reproduce, or make other use of this item.",https://digital.ncdcr.gov/about#copyright-and-use-restrictions-simple-rich-text-area,Text,text/html,eng,,pdf,/objects/small/002_usesofbhm_sm.jpg,/objects/thumbs/002_usesofbhm_th.jpg
https://digital.ncdcr.gov/Documents/Detail/perdue-bev.-speech-black-history-event/4874867?item=4887398,blackhistory003,"Perdue, Bev. Speech, Black History Event",2012-02-29,n,"Perdue, Bev, 1947-; North Carolina. Office of the Governor.",,Transcript of Governor Bev Perdue's speech honoring Tuskegee Airman from North Carolina at a Black History event in 2012.,multiple-page;speech,"African Americans--History; Military; Governors--North Carolina; Perdue, Bev, 1947-; Women governors",,,,,State Archives of North Carolina,North Carolina. Office of the Governor.,,376.6.3,SR_GP_Perdue_Bev_Speeches_29 (Wed) Black History Event 2,This item is provided courtesy of the State Archives of North Carolina and is a public record according to G.S.132.;,https://www.ncleg.gov/EnactedLegislation/Statutes/PDF/BySection/Chapter_132/GS_132-1.pdf,Text,text/html,eng,,pdf,/objects/small/003_perdue_speech_sm.jpg,/objects/thumbs/003_perdue_speech_th.jpg
https://digital.ncdcr.gov/Documents/Detail/african-americans-in-early-north-carolina-a-documentary-history/3692089?item=5250683,blackhistory004,African Americans in early North Carolina : a documentary history,2005,n,"Watson, Alan D., 1942-; North Carolina. Office of Archives and History.",,A history of African Americans in North Carolina that uses primary sources.,multi-page; special series book,African Americans--North Carolina--History-18th Century; African Americans--North Carolina--History--17th Century; North Carolina--History--Colonial period ca. 1600-1775,,,,,State Library of North Carolina,"North Carolina Office of Archives and History, Department of Natural and Cultural Resources",,,pubs_history_africanamericansearly2005,"Users are responsible for determining the legal status of and securing any permissions necessary to distribute, reproduce, or make other use of this item.",https://digital.ncdcr.gov/about#copyright-and-use-restrictions-simple-rich-text-area,Text,text/html,eng,,pdf,/objects/small/004_aahistory_sm.jpg,/objects/thumbs/004_aahistory_th.jpg
https://digital.ncdcr.gov/Documents/Detail/envisioning-the-future-of-north-carolinas-african-american-heritage/2281943,blackhistory005,Envisioning the future of North Carolina's African American heritage,2011,n,North Carolina. African American Heritage Commission.,,A report on the community-responsive development of the NC African American Heritage Commission,multi-page;report,African Americans--North Carolina; North Carolina. African American Heritage Commission,,,,,State Library of North Carolina,North Carolina Department of Natural and Cultural Resources,,,pubs_envisioningfuturenc201101,"Users are responsible for determining the legal status of and securing any permissions necessary to distribute, reproduce, or make other use of this item.",https://digital.ncdcr.gov/about#copyright-and-use-restrictions-simple-rich-text-area,Text,text/html,eng,,pdf,/objects/small/005_envisioning_sm.jpg,/objects/thumbs/005_envisioning_th.jpg
https://digital.ncdcr.gov/Documents/Detail/north-carolina-freedom-park-ribbon-cutting-ceremony-wednesday-august-23-2023-10-a.m./5827804?item=5827937,blackhistory006,"North Carolina Freedom Park ribbon cutting ceremony : Wednesday, August 23, 2023, 10 a.m.",2023-08-23,n,North Carolina. African American Heritage Commission.; North Carolina. Department of Natural and Cultural Resources.,,"Program for the opening of Freedom Park in Raleigh, NC.",multi-page;program,"Parks--North Carolina--Raleigh; North Carolina Freedom Park (Raleigh, N.C.)","Raleigh, NC",,,,State Library of North Carolina,North Carolina Department of Natural and Cultural Resources,,,pubs_1421954599_ncfreedom20230823,"Users are responsible for determining the legal status of and securing any permissions necessary to distribute, reproduce, or make other use of this item.",https://digital.ncdcr.gov/about#copyright-and-use-restrictions-simple-rich-text-area,Text,text/html,eng,,pdf,/objects/small/006_freedom_park_sm.jpg,/objects/thumbs/006_freedom_park_th.jpg
https://digital.ncdcr.gov/Documents/Detail/preliminary-guide-to-records-relating-to-african-americans-in-the-north-carolina-state-archives/2601599,blackhistory007,Preliminary guide to records relating to African Americans in the North Carolina State Archives,2002,n,North Carolina. Office of Archives and History.,,A guide for searching the NC State Archives for records of African Americans,multi-page;guide,North Carolina. Division of Archives and History--Catalogs; African Americans--North Carolina--History--Sources; North Carolina--History--Sources--Bibliography--Catalogs,,,,,State Library of North Carolina,"North Carolina Office of Archives and History, Department of Natural and Cultural Resources",,,pubs_preliminaryguiderecords200217.pdf,"Users are responsible for determining the legal status of and securing any permissions necessary to distribute, reproduce, or make other use of this item.",https://digital.ncdcr.gov/about#copyright-and-use-restrictions-simple-rich-text-area,Text,text/html,eng,,pdf,/objects/small/007_archives_guide_sm.jpg,/objects/thumbs/007_archives_guide_th.jpg
https://digital.ncdcr.gov/Documents/Detail/rich-heritage-of-african-americans-in-north-carolina/3693364?item=4884921,blackhistory008,Rich heritage of African Americans in North Carolina,2000,n,"North Carolina. Division of Tourism, Film, and Sports Development.",,A guide to explore the history of the African American community in North Carolina,multiple-page; guide,African Americans--North Carolina--Intellectual life--History--Directories; African Americans--North Carolina--Social life and customs--History,"North Carolina, United States",,,,State Library of North Carolina,"North Carolina Division of Tourism, Film and Sports Development, Department of Commerce",,,pubs_richheritageaanc2000,"Users are responsible for determining the legal status of and securing any permissions necessary to distribute, reproduce, or make other use of this item.",https://digital.ncdcr.gov/about#copyright-and-use-restrictions-simple-rich-text-area,Text,text/html,eng,,pdf,/objects/small/008_richheritage_sm.jpg,/objects/thumbs/008_richheritage_th.jpg
https://digital.ncdcr.gov/Documents/Detail/next-generation-southern-black-aesthetic/60266?item=63780,blackhistory009,Next generation : southern Black aesthetic,1990,n,Southeastern Center for Contemporary Art,,"Catalog of a travelling exhibition held at Southeastern Center for Contemporary Art, Winston-Salem, North Carolina, May 5-July 15, 1990 and others; Includes bibliographical references.",multiple-page; catalog,"African American art--Southern States--Exhibitions; Art, American--Southern States--20th century--Exhibitions","Winston-Salem, North Carolina",36.215002,-80.308949,,State Library of North Carolina,North Carolina Department of Natural and Cultural Resources,,F36 12:N56,pubs_secca_nextgenerationsouthernblack1990.pdf,"Users are responsible for determining the legal status of and securing any permissions necessary to distribute, reproduce, or make other use of this item.",https://digital.ncdcr.gov/about#copyright-and-use-restrictions-simple-rich-text-area,Text,text/html,eng,,pdf,/objects/small/009_nextgeneration_secca_sm.jpg,/objects/thumbs/009_nextgeneration_secca_th.jpg
https://digital.ncdcr.gov/Documents/Detail/north-carolina-african-american-history-culture/502015?item=633080,blackhistory010,North Carolina African American history & culture,2007,n,Allosaurus Publishers,,Traces the history and culture of African Americans in North Carolina from 1712 to 2011.,multiple-page; book,African Americans--North Carolina--History; African Americans--North Carolina--Social life and customs; North Carolina--History,"North Carolina, United States",,,,State Library of North Carolina,Allosaurus Publishers. NC Learning Institute For Fitness and Education.,,,gen_spc_ncafricanamerican_2012.pdf,"Users are responsible for determining the legal status of and securing any permissions necessary to distribute, reproduce, or make other use of this item.",https://digital.ncdcr.gov/about#copyright-and-use-restrictions-simple-rich-text-area,Text,text/html,eng,,pdf,/objects/small/010_aa_histandcul_sm.jpg,/objects/thumbs/010_aa_histandcul_th.jpg
